id,f84faf3b-09a3-4d4d-9bfd-9e51ce7e3322
name,Cal_785_SEX139
device,EZI860
spectrometer,ZTNX
time_stamp,2022-08-19 18:42:55
integ_time,60000
integ_unit,ms
averages,5
laserPower,100
user,Admin
wl,785nm
Pixels,Wavelength,Wavenumbers,Raman_Shift,Raw_Data,Background_Data,Processed_Data
0,735.003456387496,9435.44905443409,-862.1998973917623,825,799,26
1,735.2573092273321,9436.02829285721,-857.502543351319,825,799,26
2,735.5110675339598,9436.608403994118,-852.810179236151,788,761,27
3,735.7647313095879,9437.189388173298,-848.122798033856,712,702,10
4,736.0183005564248,9437.771245723761,-843.4403927456049,730,686,44
5,736.2717752766797,9438.353976975053,-838.7629563860853,749,706,43
6,736.5251554725611,9438.937582257253,-834.0904819835002,676,741,-65
7,736.778441146278,9439.52206190096,-829.4229625795076,731,716,15
8,737.0316323000391,9440.107416237319,-824.7603912292113,730,743,-13
9,737.284728936053,9440.693645598,-820.102761001114,744,709,35
10,737.5377310565286,9441.280750315213,-815.4500649770914,750,779,-29
11,737.7906386636747,9441.868730721695,-810.802296252358,743,740,3
12,738.0434517597002,9442.457587150722,-806.1594479354287,736,739,-3
13,738.2961703468136,9443.047319936102,-801.5215131481134,738,764,-26
14,738.5487944272238,9443.637929412187,-796.8884850254478,762,726,36
15,738.8013240031397,9444.229415913853,-792.2603567156846,2782,2749,33
16,739.0537590767699,9444.82177977651,-787.6371213802638,2479,2428,51
17,739.3060996503232,9445.415021336126,-783.0187721937734,2643,2668,-25
18,739.5583457260083,9446.00914092918,-778.4053023439144,2731,2767,-36
19,739.810497306034,9446.60413889271,-773.7967050314808,2918,2997,-79
20,740.0625543926094,9447.20001556428,-769.1929734703142,2393,2363,30
21,740.3145169879429,9447.796771281992,-764.5941008872949,2955,2932,23
22,740.5663850942433,9448.394406384496,-760.0000805222869,2503,2589,-86
23,740.8181587137194,9448.992921210973,-755.410905628122,3478,3446,32
24,741.0698378485802,9449.59231610115,-750.8265694705613,2849,2784,65
25,741.3214225010342,9450.192591395293,-746.2470653282678,2698,2670,28
26,741.5729126732905,9450.793747434207,-741.6723864927778,2258,2254,4
27,741.8243083675574,9451.395784559234,-737.102526268475,3113,3062,51
28,742.0756095860439,9451.998703112276,-732.5374779725378,4015,3997,18
29,742.326816330959,9452.602503435759,-727.9772349349339,2872,2898,-26
30,742.5779286045112,9453.207185872656,-723.4217904983823,5601,5547,54
31,742.8289464089092,9453.812750766487,-718.8711380183183,3872,3900,-28
32,743.079869746362,9454.419198461317,-714.3252708628686,2633,2594,39
33,743.3306986190784,9455.026529301753,-709.7841824128125,2918,2980,-62
34,743.5814330292669,9455.634743632943,-705.2478660615695,2664,2687,-23
35,743.8320729791366,9456.243841800593,-700.7163152151504,2951,2943,8
36,744.0826184708959,9456.853824150941,-696.1895232921422,3711,3688,23
37,744.3330695067539,9457.464691030775,-691.6674837236649,3358,3345,13
38,744.5834260889194,9458.076442787435,-687.150189953353,2584,2541,43
39,744.8336882196008,9458.689079768801,-682.6376354373267,2927,2914,13
40,745.0838559010072,9459.30260232331,-678.1298136441553,2327,2310,17
41,745.3339291353471,9459.91701079994,-673.6267180548246,2798,2800,-2
42,745.5839079248298,9460.532305548222,-669.1283421627147,2576,2522,54
43,745.8337922716635,9461.148486918231,-664.6346794735825,2811,2851,-40
44,746.0835821780571,9461.765555260601,-660.1457235055066,3441,3425,16
45,746.3332776462196,9462.383510926504,-655.6614677888726,2743,2752,-9
46,746.5828786783595,9463.002354267672,-651.181905866352,2336,2347,-11
47,746.832385276686,9463.622085636389,-646.7070312928524,4281,4304,-23
48,747.0817974434075,9464.242705385483,-642.2368376355105,5114,5026,88
49,747.3311151807326,9464.864213868343,-637.7713184736574,4567,4530,37
50,747.5803384908705,9465.486611438906,-633.3104673987716,3848,3878,-30
51,747.8294673760299,9466.109898451661,-628.8542780144733,3158,3183,-25
52,748.0785018384194,9466.734075261655,-624.402743936497,3762,3751,11
53,748.3274418802478,9467.359142224488,-619.9558587926374,5336,5334,2
54,748.5762875037238,9467.98509969631,-615.5136162227525,3584,3559,25
55,748.8250387110567,9468.611948033838,-611.0760098787075,2353,2370,-17
56,749.0736955044546,9469.239687594332,-606.6430334243748,2193,2249,-56
57,749.3222578861265,9469.868318735613,-602.2146805355812,2133,2102,31
58,749.5707258582812,9470.497841816066,-597.7909449000933,2620,2554,66
59,749.8190994231277,9471.12825719462,-593.3718202175812,2449,2433,16
60,750.0673785828745,9471.759565230777,-588.9573001996021,2076,2141,-65
61,750.3155633397304,9472.391766284576,-584.547378569571,3650,3593,57
62,750.5636536959041,9473.024860716645,-580.1420490627158,3117,3076,41
63,750.8116496536045,9473.65884888814,-575.7413054260712,3488,3451,37
64,751.0595512150405,9474.293731160804,-571.3451414184353,2282,2269,13
65,751.3073583824206,9474.929507896919,-566.9535508103588,2767,2753,14
66,751.5550711579538,9475.566179459342,-562.5665273840993,5248,5104,144
67,751.8026895438487,9476.203746211482,-558.184064933607,2352,2403,-51
68,752.0502135423142,9476.842208517324,-553.8061572644972,2375,2361,14
69,752.2976431555591,9477.4815667414,-549.4327981940066,2750,2717,33
70,752.5449783857919,9478.121821248806,-545.0639815509992,6072,6013,59
71,752.7922192352216,9478.762972405219,-540.6997011758983,3957,3974,-17
72,753.0393657060569,9479.40502057686,-536.3399509206963,3024,3068,-44
73,753.2864178005068,9480.04796613052,-531.9847246488978,3241,3325,-84
74,753.5333755207798,9480.691809433565,-527.6340162355216,3684,3619,65
75,753.7802388690848,9481.336550853912,-523.2878195670517,2590,2628,-38
76,754.0270078476303,9481.98219076006,-518.9461285414243,2697,2715,-18
77,754.2736824586256,9482.62872952106,-514.6089370679863,3575,3589,-14
78,754.5202627042792,9483.276167506541,-510.27623906748227,3614,3596,18
79,754.7667485867996,9483.924505086692,-505.9480284720346,4331,4343,-12
80,755.013140108396,9484.573742632274,-501.6242992250925,2736,2781,-45
81,755.2594372712769,9485.223880514615,-497.3050452814266,3441,3471,-30
82,755.5056400776513,9485.874919105618,-492.9902606070925,3354,3369,-15
83,755.7517485297276,9486.526858777748,-488.67993917941635,3562,3597,-35
84,755.997762629715,9487.179699904047,-484.374074986951,2588,2533,55
